Employee Id ,Name,department,Position,gender,age,StartDate,ExitDate,EmployeeStatus,EmployeeType,EmployeeClassificationType,Current Employee Rating,EmployeeStatus_1,recruitment_channel,education,Attrition,Active Employees,Age Group,Rating Group
24677,Jacob Taylor,Sales & Marketing,Content Marketing Manager,m,27-01-1900,30-Jun-20,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
1110,Lucas Duffy,Sales & Marketing,Customer Relationship Executive,m,25-01-1900,13-Dec-18,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
928,Ashley Ellis,Sales & Marketing,Product Marketing Manager,m,30-01-1900,03-Mar-21,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
40855,Daniel Blackburn,Sales & Marketing,Customer Relationship Executive,m,21-02-1900,22-Jan-19,,Active,Contract,Part-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
24579,Joshua Barnes,Sales & Marketing,Digital Marketing Specialist,m,18-02-1900,12-Feb-22,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
21572,Robert Watts,Sales & Marketing,Content Marketing Manager,f,03-02-1900,31-Dec-18,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
5320,Krista Smith,Sales & Marketing,Content Marketing Manager,m,29-01-1900,15-May-23,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
50294,Hannah Cruz,Sales & Marketing, Sales Executive / Representative,m,26-01-1900,23-Jul-22,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
19245,Virginia Castro,Sales & Marketing,Digital Marketing Specialist,m,17-02-1900,14-Apr-20,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
20068,Katie Barry,Sales & Marketing,Product Marketing Manager,m,12-02-1900,19-Mar-20,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,35-44,Average Performer
29500,Luke Carter,Sales & Marketing,Content Marketing Manager,m,30-01-1900,24-Apr-23,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
22054,Adam Harmon,Sales & Marketing,Marketing Executive,m,02-02-1900,08-Jan-20,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
45470,Nicole Pierce,Sales & Marketing,Customer Relationship Executive,f,05-02-1900,22-Nov-22,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
31515,Christine Oneill,Sales & Marketing, Sales Executive / Representative,m,30-01-1900,26-Oct-20,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
11378,Deborah Arnold,Sales & Marketing,Product Marketing Manager,m,10-02-1900,11-Jan-21,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
46895,Angela Garcia,Sales & Marketing,Regional Sales Manager,m,02-02-1900,12-Jun-21,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
67480,Crystal Taylor,Sales & Marketing,Content Marketing Manager,f,04-02-1900,15-May-20,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
47990,Gary Nelson,Sales & Marketing,Marketing Executive,m,26-01-1900,18-Apr-23,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
2425,Derrick Garcia,Sales & Marketing,Regional Sales Manager,m,29-01-1900,23-Jul-21,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
16790,Dawn Williams,Sales & Marketing,Marketing Executive,f,06-02-1900,30-Aug-21,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
69056,Jeremy Anderson,Sales & Marketing,Product Marketing Manager,m,27-01-1900,14-Jul-21,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
9994,Austin Dixon,Sales & Marketing,Marketing Executive,m,13-02-1900,08-Jul-21,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
12320,Joshua Gregory,Sales & Marketing,Content Marketing Manager,m,06-02-1900,02-Jul-19,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
43679,Sara Farrell,Sales & Marketing,Customer Relationship Executive,m,02-02-1900,27-Dec-19,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
71628,Sandra Blackwell,Sales & Marketing,Content Marketing Manager,m,05-02-1900,06-Jan-21,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
75683,Christopher Smith,Sales & Marketing,Content Marketing Manager,m,08-02-1900,07-Mar-19,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
58375,Kevin Jones,Sales & Marketing,Marketing Executive,m,24-01-1900,09-Mar-20,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,Under 25,Average Performer
11526,Jorge Cunningham,Sales & Marketing,Digital Marketing Specialist,m,03-02-1900,04-Jul-21,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
63224,Kevin Rodriguez,Sales & Marketing,Content Marketing Manager,m,04-02-1900,13-May-19,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
23681,Nicole Harrington,Sales & Marketing,Content Marketing Manager,m,08-02-1900,29-Jan-20,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
63366,Melissa Morse,Sales & Marketing,Digital Marketing Specialist,m,06-02-1900,26-Jun-23,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
58458,Travis Smith,Sales & Marketing,Product Marketing Manager,m,06-02-1900,16-Oct-22,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
77167,Paula Flynn,Sales & Marketing,Customer Relationship Executive,m,08-02-1900,11-Mar-23,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
65115,Mary Stokes,Sales & Marketing,Content Marketing Manager,m,30-01-1900,08-May-21,,Active,Contract,Part-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
51763,Eddie Herrera,Sales & Marketing,Content Marketing Manager,f,04-02-1900,16-Aug-20,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
3105,Emily Flores,Sales & Marketing,Digital Marketing Specialist,m,20-01-1900,05-Nov-20,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,Under 25,Average Performer
3666,Aaron Willis,Sales & Marketing,Content Marketing Manager,m,26-01-1900,03-Nov-19,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
33678,Jordan Bennett,Sales & Marketing,Regional Sales Manager,m,04-02-1900,02-Apr-21,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
37310,Bethany Norris,Sales & Marketing,Digital Marketing Specialist,m,24-01-1900,18-Jul-19,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,Under 25,Average Performer
73208,April Gallagher,Sales & Marketing, Sales Executive / Representative,m,06-02-1900,21-Aug-19,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
72483,Dillon Guerrero,Sales & Marketing,Customer Relationship Executive,m,24-01-1900,29-Jul-22,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,Under 25,Average Performer
13901,Katherine Mccarthy,Sales & Marketing,Customer Relationship Executive,f,05-02-1900,20-Sep-18,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
31777,Rachel Thomas,Sales & Marketing,Digital Marketing Specialist,m,05-02-1900,26-Nov-20,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
68410,Elizabeth Walker,Sales & Marketing,Content Marketing Manager,m,29-01-1900,04-Jul-19,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
82,Kimberly Wilcox,Sales & Marketing, Sales Executive / Representative,m,18-02-1900,26-Nov-20,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,45-54,Average Performer
37620,Brandon Mcdonald,Sales & Marketing,Marketing Executive,m,01-02-1900,25-Apr-19,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
59193,Anita Chapman,Sales & Marketing,Product Marketing Manager,m,26-01-1900,01-Jan-23,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
12623,Samantha French,Sales & Marketing,Content Marketing Manager,m,20-01-1900,08-Apr-23,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,Under 25,Average Performer
60024,Mary Conley,Sales & Marketing,Regional Sales Manager,m,28-01-1900,28-Jan-22,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
67715,Jamie Anderson,Sales & Marketing,Digital Marketing Specialist,m,29-01-1900,14-Feb-21,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
16137,Ashley Clark,Sales & Marketing,Content Marketing Manager,m,07-02-1900,23-Mar-22,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
50386,Nicholas Anderson,Sales & Marketing,Content Marketing Manager,m,26-01-1900,07-Aug-18,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
16068,Cheryl Anderson,Sales & Marketing,Digital Marketing Specialist,f,31-01-1900,15-Jun-23,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
45294,Latoya Lam,Technology,Product Manager,m,27-02-1900,22-Sep-22,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,55 Above,Average Performer
61360,Mr. Jesus Richards,Technology,Product Manager,f,31-01-1900,16-Sep-22,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
14810,Cynthia Delgado,Technology,QA Engineer,m,02-02-1900,28-Apr-21,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
18984,Mary Mendoza,Technology, Software Engineer,m,02-02-1900,01-Oct-21,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
12594,Allison Jacobs,Technology,QA Engineer,m,15-02-1900,02-Feb-19,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,45-54,Average Performer
50036,Patricia Wallace,Technology,QA Engineer,m,28-01-1900,27-Mar-22,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
41087,Jose Bray,Technology,UX Designer,f,21-02-1900,08-May-23,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
50441,Amanda Marshall,Technology,QA Engineer,m,13-02-1900,16-Mar-20,,Active,Contract,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
70360,Stacey Fowler,Technology, Software Engineer,f,31-01-1900,23-Dec-20,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
31886,Heidi Wang,Technology,IT Support Specialist,m,05-02-1900,13-Oct-19,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
6878,Brittany Brown,Technology,Back-End Developer,f,26-02-1900,17-Mar-22,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,55 Above,Average Performer
71343,Riley Schultz,Technology,UX Designer,m,09-02-1900,05-Aug-20,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
23605,Jennifer Cox,Technology,Full Stack Developer,f,02-02-1900,23-Apr-23,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
34266,Caroline Grant,Technology, Software Engineer,m,06-02-1900,01-Nov-21,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
49734,Shannon Cruz,Technology,Data Engineer,f,04-02-1900,20-Jul-20,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
68267,Anthony Cross,Technology,Full Stack Developer,m,09-02-1900,13-Jun-20,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
31444,Jasmine Johnson,Technology,Full Stack Developer,m,31-01-1900,08-Sep-18,,Active,Contract,Part-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
3718,Timothy Higgins,Technology, Software Engineer,m,29-02-1900,23-Jul-20,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,55 Above,Average Performer
30949,Luke Miller,Technology,IT Support Specialist,m,31-01-1900,26-Jan-21,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
17853,James Clay,Technology,Back-End Developer,m,08-02-1900,17-May-19,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,35-44,Average Performer
7180,Sheri Pearson,Technology, Software Engineer,f,04-02-1900,06-Sep-18,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
1749,Katherine Huber,Technology,Data Engineer,m,03-02-1900,27-Dec-19,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
26232,Brenda Johnson,Technology,Cloud Engineer,f,07-02-1900,26-Apr-20,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
31518,Lauren Gonzales,Technology,Product Manager,f,03-02-1900,28-Dec-19,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
71833,Bryan Salas,Technology,Data Engineer,m,17-02-1900,13-Apr-21,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
16517,Joseph Dixon,Technology,Product Manager,f,09-02-1900,24-Mar-20,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
77194,Holly Pearson,Technology,Data Engineer,m,09-02-1900,17-Aug-20,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
40814,Jesus Golden,Technology,Cloud Engineer,m,14-02-1900,16-Nov-19,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,45-54,Average Performer
32889,Lisa Mills,Technology, Software Engineer,m,31-01-1900,14-Jan-19,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
591,Brittany Glover,Technology,QA Engineer,m,10-02-1900,30-May-20,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
3990,James Hines,Technology,Product Manager,m,27-01-1900,28-Oct-19,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
3485,Brandon Oconnell,Technology, Software Engineer,m,03-02-1900,09-Apr-20,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
73471,Bobby Martinez,Technology,Back-End Developer,m,05-02-1900,30-Mar-21,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
22877,Robert Hall,Technology, Software Engineer,f,02-02-1900,11-Nov-19,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
975,Kimberly Rivera,Technology,DevOps Engineer,m,27-01-1900,03-Aug-22,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
23828,Jamie Wallace,Technology,Data Engineer,m,22-01-1900,21-Jul-21,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,Under 25,Average Performer
75849,Noah Woods,Technology, Software Engineer,m,03-02-1900,20-May-23,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
74165,Taylor Fleming,Technology,DevOps Engineer,f,06-02-1900,16-May-22,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
51737,Carol Knapp,Technology,Product Manager,f,28-01-1900,21-Dec-19,,Active,Contract,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
44110,Dale Morgan,Technology, Software Engineer,f,15-02-1900,14-Apr-23,,Active,Full-Time,Part-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
69085,Melissa Carlson,Technology,Full Stack Developer,m,07-02-1900,13-Dec-22,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
9188,Brittany Sanchez,Technology,Data Engineer,f,03-02-1900,07-Apr-22,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
71459,Matthew Mcdaniel,Technology, Software Engineer,m,26-01-1900,01-Jun-21,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
39582,Cory Edwards,Technology,DevOps Engineer,m,25-02-1900,05-Jul-23,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,55 Above,Average Performer
48297,Larry Ramirez,Technology,QA Engineer,f,29-02-1900,05-Feb-21,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,55 Above,Average Performer
19947,Lisa Walton,Technology,Data Engineer,m,13-02-1900,24-May-21,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
20682,April Sanchez,Technology,Data Engineer,m,27-02-1900,15-Jul-21,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,55 Above,Average Performer
62302,Donna Collins,Technology,Back-End Developer,m,23-02-1900,05-Dec-20,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
69439,Mary Lewis,Technology,QA Engineer,f,16-02-1900,14-Jan-22,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
54417,Christina Randall,Technology,Product Manager,m,02-02-1900,19-Mar-19,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
21026,Jonathan Taylor,Technology,QA Engineer,m,13-02-1900,22-Dec-19,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
7866,Eric Mcclain,Technology, Software Engineer,f,09-02-1900,10-Jul-23,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
22213,Charles Williamson,Technology,Data Engineer,m,28-01-1900,25-Nov-22,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
61244,Chase Swanson,Technology,Back-End Developer,f,02-02-1900,07-Dec-18,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
19859,Evan Durham,Technology,UX Designer,f,07-02-1900,19-Apr-23,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
44010,Christina Cohen,Technology,IT Support Specialist,m,14-02-1900,15-Jul-23,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,45-54,Average Performer
31580,Lisa Hernandez,Technology,Full Stack Developer,m,20-02-1900,26-Mar-22,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
44827,Bradley Randall,Technology,Product Manager,f,25-02-1900,03-Nov-19,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,55 Above,Average Performer
9681,Michael Graves,Technology,Full Stack Developer,m,29-01-1900,16-Aug-21,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
17622,Nicole Vasquez,Technology,Full Stack Developer,f,09-02-1900,11-Sep-19,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
59589,Ana Harding,Technology, Software Engineer,f,04-02-1900,11-Jun-20,,Active,Contract,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
16222,Andrew Calderon,Technology, Software Engineer,m,26-01-1900,23-Aug-21,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
63298,Alicia Gonzalez,Technology,Product Manager,f,29-01-1900,16-Mar-19,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
42761,Clayton Wilson,Technology,UX Designer,m,06-02-1900,01-Jan-23,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
74430,Renee Mccormick,HR,Administrative Assistant,f,31-01-1900,11-Feb-23,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
3076,Nicole Elliott,Operations,Operations Coordinator,f,03-02-1900,16-Aug-21,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
51938,Raymond Wilson,Operations,Business Operations Manager,m,27-01-1900,26-Jul-22,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
20962,Beverly Parker,Analytics,Analyst,m,04-02-1900,09-Aug-22,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
1089,Ashley Cervantes,HR,Payroll Executive,m,23-01-1900,10-Apr-23,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,Under 25,Average Performer
40356,James Barajas,Operations,Quality Assurance Officer,m,11-02-1900,03-Dec-18,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
7389,Nicole Haynes,Finance,Budget Analyst,m,11-02-1900,19-Sep-22,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
6907,Sarah King,Analytics,Sr.Data Analyst,m,01-02-1900,29-Oct-19,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,25-34,Average Performer
59100,Sarah Carey,Operations, Inventory Controller,m,03-02-1900,06-May-19,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
73651,Taylor Wright,Operations,Operations Coordinator,f,12-02-1900,13-Oct-20,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
49089,Jerry Suarez,Operations, Inventory Controller,m,11-02-1900,23-Nov-20,,Active,Contract,Temporary,3,Active,other,Master's & above,0,1,35-44,Average Performer
34105,Emily Brennan,Operations,Quality Assurance Officer,m,07-02-1900,29-Apr-23,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
21293,Laura Norman,HR,Administrative Assistant,m,31-01-1900,20-Nov-22,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
32026,Kimberly Holland,Operations,Quality Assurance Officer,f,02-02-1900,11-May-19,,Active,Full-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
9087,Jessica Lewis,HR, HR Executive,m,23-02-1900,14-Nov-20,,Active,Part-Time,Full-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
40689,Elizabeth Richards,Operations,Operations Manager,f,29-01-1900,16-Dec-22,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
65630,Charles Delacruz,HR,HR Assistant,m,25-01-1900,07-Apr-20,,Active,Full-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
59695,Margaret Lee,Operations,Logistics Executive,m,02-02-1900,04-Aug-19,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
30356,Matthew West,Finance,Finance Director,f,27-01-1900,16-Jun-19,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,25-34,Average Performer
52630,Ms. Diane Bradshaw DVM,Operations,Operations Manager,m,22-02-1900,17-Aug-20,,Active,Part-Time,Temporary,3,Active,other,Master's & above,0,1,45-54,Average Performer
33963,Kevin Calderon,HR, HR Executive,m,16-02-1900,21-Apr-23,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
